S.No,Date,Item,Season,Amount,Quantity,Order Type,Final Amount
1,2022-06-18,Lollipop Biryani,Rainy,329,3,Offline,329
2,2023-04-06,Pot Biryani,Summer,399,3,Online,449
3,2022-05-09,Mini Meals,Summer,80,1,Offline,80
4,2023-05-28,Paneer Biryani,Summer,319,3,Online,369
5,2022-12-31,Dum Biryani,Winter,299,2,Offline,299
6,2022-10-03,Mini Meals,Winter,80,1,Online,130
7,2022-12-03,Lollipop Biryani,Winter,329,3,Offline,329
8,2022-10-18,Pot Biryani,Winter,399,1,Online,449
9,2022-07-06,Mini Meals,Rainy,80,1,Offline,80
10,2022-06-26,Fry Piece Biryani,Rainy,329,3,Online,379
11,2022-10-20,Dum Biryani,Winter,299,1,Offline,299
12,2023-06-14,Full Meals,Rainy,120,3,Online,170
13,2023-06-13,Full Meals,Rainy,120,2,Online,170
14,2023-08-09,Pot Biryani,Rainy,399,3,Online,449
15,2023-05-06,Mini Meals,Summer,80,2,Online,130
16,2022-01-30,Joint Biryani,Winter,349,3,Online,399
17,2022-09-02,Mini Meals,Rainy,80,1,Online,130
18,2022-07-04,Mini Meals,Rainy,80,3,Online,130
19,2023-08-13,Mini Meals,Rainy,80,2,Offline,80
20,2023-01-15,Lollipop Biryani,Winter,329,2,Online,379
21,2022-08-13,Mini Meals,Rainy,80,2,Offline,80
22,2022-08-28,Mini Meals,Rainy,80,1,Offline,80
23,2022-04-20,Pot Biryani,Summer,399,3,Online,449
24,2022-03-22,Joint Biryani,Summer,349,2,Online,399
25,2022-11-29,Mini Meals,Winter,80,2,Offline,80
26,2022-03-20,Mini Meals,Summer,80,1,Offline,80
27,2022-09-05,Mini Meals,Rainy,80,2,Online,130
28,2023-06-07,Joint Biryani,Rainy,349,2,Offline,349
29,2023-07-09,Moghlai Biryani,Rainy,349,1,Offline,349
30,2023-03-01,Full Meals,Summer,120,3,Online,170
31,2022-01-22,Joint Biryani,Winter,349,1,Offline,349
32,2023-07-17,Mini Meals,Rainy,80,1,Offline,80
33,2022-07-12,Pot Biryani,Rainy,399,3,Offline,399
34,2022-06-22,Fry Piece Biryani,Rainy,329,3,Offline,329
35,2022-03-11,Pot Biryani,Summer,399,3,Offline,399
36,2023-07-29,Mini Meals,Rainy,80,2,Offline,80
37,2022-04-26,Fry Piece Biryani,Summer,329,1,Offline,329
38,2022-11-16,Pot Biryani,Winter,399,1,Offline,399
39,2022-05-07,Mini Meals,Summer,80,1,Offline,80
40,2023-07-10,Joint Biryani,Rainy,349,1,Offline,349
41,2022-01-24,Full Meals,Winter,120,3,Offline,120
42,2023-02-27,Mini Meals,Winter,80,1,Offline,80
43,2022-10-13,Full Meals,Winter,120,3,Online,170
44,2023-05-29,Pot Biryani,Summer,399,1,Online,449
45,2023-07-03,Moghlai Biryani,Rainy,349,1,Offline,349
46,2022-05-16,Mini Meals,Summer,80,3,Offline,80
47,2023-02-20,Mini Meals,Winter,80,2,Online,130
